brand,price,color,size,cut,material,sockID
Nfiniy,4.5,Indigo,XL,heel,volleyball,101
Puma,83.8,BurlyWood,XXL,low,walking,102
NewBalance,25.83,DodgerBlue,L,tight,running,103
Saucony,79.18,Olive,M,loose,hiking,104
Nfiniy,95.2,Indigo,M,high,football,105
Puma,13.26,GhostWhite,SM,high,tennis,106
Adidas,41.3,OliveDrab,XXXL,medium,volleyball,107
Nike,37.53,BlanchedAlmond,XXXL,comfortable,running,108
NewBalance,16.07,Maroon,L,loose,walking,109
UnderArmour,47.56,Cornsilk,L,loose,basketball,110
NewBalance,37.67,CadetBlue,SM,comfortable,football,111
AirJordan,61.34,LightSeaGreen,XXXL,loose,running,112
Nike,11.7,LightSteelBlue,M,high,squash,113
Saucony,17.48,RoyalBlue,XSM,athletic,basketball,114
NewBalance,9.23,LightBlue,SM,medium,volleyball,115
Reebok,36.61,DarkOliveGreen,M,medium,volleyball,116
Adidas,79.79,LightSteelBlue,XSM,heel,football,117
UnderArmour,41.94,DeepPink,SM,comfortable,walking,118
NewBalance,57.31,DarkSeaGreen,XL,medium,squash,119
Reebok,36.51,DarkGray,XXXL,low,squash,120
Nike,29.36,Blue,XL,medium,tennis,121
Adidas,99.49,SpringGreen,XSM,low,football,122
Puma,58.6,DarkOliveGreen,XSM,heel,volleyball,123
Nfiniy,14.43,Tan,XSM,high,basketball,124
Nike,20.49,BlanchedAlmond,M,high,squash,125
Reebok,81.97,SeaGreen,XXL,low,hiking,126
Avia,14.23,Teal,XL,heel,squash,127
AirJordan,27.31,Gainsboro,SM,high,football,128
AirJordan,77.5,DarkTurquoise,SM,tight,running,129
NewBalance,16.47,Sienna,XSM,medium,volleyball,130
AirJordan,73.36,LightSlateGray,SM,comfortable,volleyball,131
UnderArmour,92.91,MediumPurple,M,athletic,tennis,132
Avia,67.13,PaleGreen,XXL,athletic,walking,133
Reebok,4.74,DarkBlue,M,tight,football,134
Puma,68.82,DarkTurquoise,L,heel,squash,135
Nike,25.45,Orchid,XXL,heel,running,136
NewBalance,63.11,DarkGray,L,athletic,tennis,137
NewBalance,36.58,LightYellow,XXL,medium,volleyball,138
Adidas,41.29,Purple,L,athletic,walking,139
Nfiniy,46.77,SaddleBrown,XXXL,tight,hiking,140
Nfiniy,71.7,Ivory,XSM,high,volleyball,141
AirJordan,34.79,MistyRose,XXL,low,volleyball,142
Nfiniy,97.35,Violet,L,loose,tennis,143
Nike,85.17,SandyBrown,XL,loose,basketball,144
Reebok,18.12,Tan,L,heel,squash,145
NewBalance,37.58,DarkMagenta,SM,loose,volleyball,146
Nike,78.36,LimeGreen,L,athletic,hiking,147
Adidas,50.42,SteelBlue,XSM,high,basketball,148
Nfiniy,25.95,OldLace,M,low,basketball,149
NewBalance,29.28,DimGray,SM,tight,walking,150
Nfiniy,38.25,DarkSlateBlue,XL,heel,walking,151
Nfiniy,29.91,MediumAquaMarine,L,athletic,football,152
Nfiniy,25.28,Tan,L,high,hiking,153
Adidas,70.45,DarkTurquoise,XXXL,loose,walking,154
Puma,38.37,Gainsboro,L,heel,volleyball,155
Saucony,72.97,SteelBlue,SM,high,volleyball,156
Avia,53.68,CadetBlue,XL,comfortable,hiking,157
UnderArmour,27.32,WhiteSmoke,XXXL,low,tennis,158
NewBalance,57.19,Wheat,SM,medium,basketball,159
Puma,11.68,MintCream,XSM,medium,hiking,160
Nfiniy,89.41,DeepPink,L,loose,basketball,161
Avia,87.83,SlateGray,L,heel,walking,162
Avia,71.71,Green,XXXL,loose,basketball,163
Nfiniy,19.22,LightSlateGray,SM,medium,hiking,164
AirJordan,89.17,Yellow,XL,athletic,football,165
Nfiniy,84.41,Coral,XSM,medium,running,166
Saucony,85.24,HoneyDew,SM,comfortable,tennis,167
Puma,3.83,Plum,XL,loose,volleyball,168
Avia,12.61,HotPink,M,medium,running,169
NewBalance,46.36,DarkCyan,SM,medium,tennis,170
Nfiniy,96.72,HoneyDew,XL,heel,volleyball,171
Nfiniy,67.6,Gainsboro,XXL,low,hiking,172
Avia,83.2,OrangeRed,M,tight,squash,173
UnderArmour,56.88,LimeGreen,SM,heel,running,174
Nike,6.68,Chocolate,M,heel,running,175
Reebok,94.82,Cyan,L,heel,basketball,176
AirJordan,12.95,Gold,XXXL,loose,running,177
AirJordan,93.05,Teal,XSM,athletic,squash,178
Nike,42.31,DarkMagenta,XL,medium,hiking,179
Nfiniy,42.9,NavajoWhite,XXL,high,football,180
Nfiniy,41.39,LightYellow,XSM,comfortable,tennis,181
Nike,7.3,Magenta,XXL,heel,walking,182
Nike,33.24,DarkSlateGray,XXXL,low,basketball,183
Adidas,17.73,DarkRed,XSM,high,volleyball,184
Adidas,90.96,LightYellow,L,medium,walking,185
Adidas,19.5,DarkRed,XSM,high,tennis,186
Avia,19.44,LawnGreen,L,loose,volleyball,187
Reebok,80.84,OliveDrab,L,low,basketball,188
AirJordan,28.99,White,XSM,heel,hiking,189
Saucony,72.42,PeachPuff,XL,high,volleyball,190
AirJordan,56.28,DarkGoldenRod,XSM,comfortable,squash,191
Adidas,51.95,DarkOrange,L,high,basketball,192
Adidas,72.61,Chocolate,XL,tight,squash,193
AirJordan,80.02,DarkOrchid,XXL,low,walking,194
NewBalance,58.78,Snow,XXL,athletic,squash,195
Nfiniy,15.53,Tan,M,tight,basketball,196
Reebok,13.04,Plum,L,tight,running,197
Reebok,85.65,HotPink,L,heel,basketball,198
Avia,90.41,LavenderBlush,SM,comfortable,walking,199
Reebok,71.1,Snow,XXL,heel,tennis,200
