street,postalCode,city,state,longitude,latitude
"056 Lawrence Isle Apt. 609",54421,"Lake Marcus",Virginia,-32.675032,80.9925765
"09188 Colleen Overpass",33038,"Port Christopherland",Connecticut,-142.487501,-47.1559675
"110 Brown Terrace Suite 431",29869,"North Sheri","South Carolina",-36.68987,-22.350965
"1127 Drake Manors",79150,Princehaven,Wisconsin,-54.542198,-42.692592
"14257 Kelley Spring Suite 397",82080,Joannemouth,Oregon,-18.235229,-2.717442
"2378 Franklin Walk",62527,"East Julieside",Maryland,70.479952,67.0661015
"321 Caldwell View Apt. 900",50279,Jenniferport,Missouri,-79.691479,-40.834395
"330 Christina Fork",67453,"West Larry",Hawaii,54.252874,7.274743
"336 Robert Trace",1219,"West Veronicashire",Arizona,-83.62481,-20.1469205
"360 Hall Centers",99786,"New Rachel",Minnesota,-91.467951,-25.316193
"3925 Williams Causeway Apt. 462",35690,Theresatown,Colorado,12.321208,-80.5852025
"4092 Donald Union Suite 517",38845,Kington,"South Carolina",-125.082985,21.9532045
"4148 Mark Mountains Apt. 333",36778,Nathanville,Virginia,-137.935303,11.438211
"416 Robyn Walks",56359,"Lake Kathrynfurt",Wisconsin,-151.104033,28.3900065
"42314 Alexa Court Suite 700",36212,Christinafurt,Nebraska,-163.800648,-0.2630525
"42828 Gonzalez Prairie",29225,"New Roy",Alabama,164.659664,70.8177545
"43498 Chavez Alley Apt. 524",64462,Harrismouth,Nevada,-138.089449,63.6597905
"4381 King Locks",14162,Stephensview,Nebraska,-94.258847,-37.1460485
"495 Kimberly Place",52783,"Lake Robertfort","Rhode Island",131.698297,-58.025761
"5641 Chapman Springs Apt. 995",49861,Fullerton,Vermont,-106.926474,28.1767535
"584 Ryan Mountain Apt. 396",34485,"New Anthony","South Dakota",128.678735,-58.139445
"60694 Angela Turnpike Suite 662",65689,Brownmouth,Maine,-164.322578,15.842326
"687 Michelle Forges",98329,"Port Brian",Michigan,141.048424,-18.692748
"70220 Lauren Point",89049,"New Charles",Maryland,-73.600964,25.8420485
"79638 Liu Throughway Suite 871",42968,Copelandville,Florida,-76.713289,-6.651926
"84195 Robinson Highway Suite 441",74598,"East Toni","New York",-33.218158,-30.9417785
"875 Phillips Canyon",5726,Garciaside,Florida,-145.012681,8.5138005
"879 Stephens Mountain",37212,Ashleymouth,Oregon,-171.798658,46.185122
"882 Michael Ford Apt. 928",81446,"New Jamesmouth",Connecticut,172.478153,10.2650065
"902 Jackson Mountains Suite 082",96517,"North Samanthaland",Colorado,-80.80225,-49.920751
